Time, LOAD, AID, D0,D1,D2,D3,D4,D5,D6,D7
28225, 26 % , 201, 3, 92, 63, 96, 0, 0, 0, 0
28855, 26 % , 200, 167, 53, 39, 53, 39, 53, 128, 0
29134, 26 % , 228, 0, 4, 0, 0, 0, 0, 0, 0
29224, 26 % , 231, 1, 75, 1, 0, 0, 0, 128, 0
29334, 26 % , 201, 3, 21, 63, 216, 0, 0, 0, 0
29424, 26 % , 201, 3, 14, 63, 196, 0, 0, 0, 0
29514, 27 % , 231, 1, 75, 1, 0, 0, 0, 128, 0
29604, 27 % , 231, 1, 75, 1, 0, 0, 0, 128, 0
29677, 27 % , 228, 0, 4, 0, 0, 0, 0, 128, 0
29747, 27 % , 200, 167, 58, 39, 58, 39, 58, 128, 0
29834, 27 % , 228, 0, 4, 0, 0, 39, 58, 128, 0
30477, 27 % , 201, 2, 250, 64, 20, 0, 0, 0, 0
30707, 27 % , 228, 0, 4, 0, 0, 0, 0, 0, 0
30927, 26 % , 228, 0, 4, 0, 0, 0, 0, 0, 0
31016, 26 % , 201, 2, 248, 63, 236, 0, 0, 0, 0
31157, 26 % , 231, 1, 75, 1, 0, 0, 0, 128, 0
31261, 26 % , 200, 167, 49, 39, 49, 39, 49, 128, 0
31326, 26 % , 200, 167, 49, 39, 49, 39, 49, 128, 0
31451, 26 % , 228, 0, 4, 0, 0, 0, 0, 0, 0
31586, 26 % , 201, 2, 226, 63, 196, 0, 0, 0, 0
31933, 27 % , 4EA, 0, 65, 4, 69, 0, 0, 0, 0
32082, 27 % , 231, 1, 75, 1, 0, 0, 0, 128, 0
32192, 27 % , 231, 1, 75, 1, 0, 0, 0, 128, 0
32612, 27 % , 231, 1, 75, 1, 0, 0, 0, 128, 0
32746, 27 % , 231, 1, 75, 1, 0, 0, 0, 128, 0
33332, 27 % , 420, 118, 0, 42, 0, 0, 0, 0, 0
33562, 26 % , 231, 1, 75, 1, 0, 0, 0, 128, 0
33651, 26 % , 201, 2, 184, 63, 236, 0, 0, 0, 0
33944, 26 % , 201, 2, 176, 63, 216, 0, 0, 0, 0
34014, 26 % , 201, 2, 172, 63, 196, 0, 0, 0, 0
34454, 27 % , 201, 2, 157, 63, 216, 0, 0, 0, 0
34621, 27 % , 231, 1, 75, 1, 0, 0, 0, 128, 0
34794, 27 % , 231, 1, 75, 1, 0, 0, 0, 128, 0
35004, 27 % , 231, 1, 75, 1, 0, 0, 0, 128, 0
35193, 27 % , 231, 1, 75, 1, 0, 0, 0, 128, 0
35290, 27 % , 201, 2, 159, 64, 0, 0, 0, 0, 0
35400, 27 % , 231, 1, 75, 1, 0, 0, 0, 128, 0
35499, 27 % , 200, 167, 48, 39, 48, 39, 48, 128, 0
35649, 27 % , 200, 167, 48, 39, 48, 39, 48, 128, 0
35739, 27 % , 200, 167, 48, 39, 48, 39, 48, 128, 0
35980, 27 % , 4EA, 0, 65, 4, 70, 0, 0, 0, 0
36079, 27 % , 200, 167, 47, 39, 47, 39, 47, 128, 0
36189, 27 % , 200, 167, 47, 39, 47, 39, 47, 128, 0
36299, 27 % , 201, 2, 164, 64, 20, 0, 0, 0, 0
36362, 27 % , 430, 187, 18, 64, 20, 0, 0, 0, 0
37481, 27 % , 201, 2, 165, 64, 0, 0, 0, 0, 0
37578, 27 % , 201, 2, 164, 64, 0, 0, 0, 0, 0
37723, 27 % , 4EA, 0, 65, 4, 69, 0, 0, 0, 0
37898, 27 % , 200, 167, 48, 39, 48, 39, 48, 128, 0
37970, 27 % , 200, 167, 48, 39, 48, 39, 48, 128, 0
38127, 27 % , 200, 167, 48, 39, 48, 39, 48, 128, 0
38579, 27 % , 4EA, 0, 65, 4, 70, 0, 0, 0, 0
38668, 27 % , 231, 1, 75, 1, 0, 0, 0, 128, 0
38967, 27 % , 200, 167, 47, 39, 47, 39, 47, 128, 0
39228, 27 % , 420, 118, 0, 48, 0, 0, 0, 0, 0
39290, 27 % , 200, 167, 47, 39, 47, 39, 47, 128, 0
39427, 27 % , 200, 167, 46, 39, 46, 39, 46, 128, 0
39666, 27 % , 201, 2, 171, 64, 0, 0, 0, 0, 0
39966, 27 % , 200, 167, 47, 39, 47, 39, 47, 128, 0
40207, 27 % , 231, 1, 75, 1, 0, 0, 0, 128, 0
40270, 27 % , 231, 1, 75, 1, 0, 0, 0, 128, 0
40516, 27 % , 231, 1, 75, 1, 0, 0, 0, 128, 0
40769, 27 % , 201, 2, 175, 64, 20, 0, 0, 0, 0
40859, 26 % , 201, 2, 178, 64, 40, 0, 0, 0, 0
41096, 26 % , 201, 2, 181, 64, 0, 0, 0, 0, 0
41185, 26 % , 200, 167, 40, 39, 40, 39, 40, 128, 0
41439, 26 % , 200, 167, 40, 39, 40, 39, 40, 128, 0
41519, 26 % , 200, 167, 40, 39, 40, 39, 40, 128, 0
41629, 26 % , 201, 2, 184, 63, 236, 0, 0, 0, 0
41789, 26 % , 201, 2, 184, 64, 0, 0, 0, 0, 0
41859, 26 % , 231, 1, 75, 1, 0, 0, 0, 128, 0
41959, 26 % , 201, 2, 183, 64, 0, 0, 0, 0, 0
42149, 26 % , 228, 0, 4, 0, 0, 0, 0, 0, 0
13384, 25 % , 201, 2, 173, 63, 216, 0, 0, 0, 0
13494, 25 % , 201, 2, 168, 63, 216, 0, 0, 0, 0
13688, 26 % , 430, 186, 18, 4, 67, 0, 0, 0, 0
13779, 26 % , 433, 0, 6, 8, 0, 0, 156, 80, 0
13844, 26 % , 200, 167, 44, 39, 44, 39, 44, 128, 0
14134, 26 % , 200, 167, 44, 39, 44, 39, 44, 128, 0
14230, 26 % , 200, 167, 45, 39, 45, 39, 45, 128, 0
14389, 26 % , 430, 187, 18, 4, 67, 0, 0, 0, 0
14453, 26 % , 201, 2, 151, 64, 20, 0, 0, 0, 0
14550, 26 % , 200, 167, 44, 39, 44, 39, 44, 128, 0
14811, 26 % , 4EA, 0, 65, 4, 67, 0, 0, 0, 0
15210, 26 % , 228, 0, 6, 0, 0, 0, 0, 0, 0
15354, -40 degC, 4F0, 20, 36, 18, 255, 255, 80, 0, 0
15469, 25 % , 200, 167, 42, 39, 42, 39, 42, 128, 0
15580, 30 % , 201, 2, 160, 64, 0, 0, 0, 0, 0
15688, 30 % , 430, 186, 18, 4, 78, 0, 0, 0, 0
15779, 30 % , 200, 167, 47, 39, 47, 39, 47, 128, 0
15910, 30 % , 4EA, 0, 65, 4, 79, 0, 0, 0, 0
15992, 30 % , 200, 167, 36, 39, 36, 39, 36, 128, 0
16101, 31 % , 201, 2, 145, 63, 216, 0, 0, 0, 0
16333, 32 % , 228, 0, 2, 0, 0, 0, 0, 0, 0
16483, 34 % , 228, 0, 2, 0, 0, 0, 0, 0, 0
16580, 39 % , 433, 0, 6, 8, 0, 0, 156, 80, 0
16669, 42 % , 231, 1, 75, 1, 0, 0, 0, 128, 0
16732, 43 % , 200, 167, 69, 39, 69, 39, 69, 128, 0
17059, 40 % , 231, 1, 75, 1, 0, 0, 0, 128, 0
17121, 38 % , 200, 167, 36, 39, 36, 39, 36, 128, 0
17697, 31 % , 200, 167, 28, 39, 28, 39, 28, 128, 0
17957, 30 % , 200, 167, 39, 39, 39, 39, 39, 128, 0
18067, 32 % , 200, 167, 49, 39, 49, 39, 49, 128, 0
18288, 32 % , 430, 186, 18, 4, 83, 0, 0, 0, 0
18351, 32 % , 200, 167, 49, 39, 49, 39, 49, 128, 0
18488, 33 % , 430, 187, 18, 4, 85, 0, 0, 0, 0
18550, 33 % , 200, 167, 54, 39, 54, 39, 54, 128, 0
18726, 33 % , 200, 167, 55, 39, 55, 39, 55, 128, 0
19196, 33 % , 201, 2, 242, 64, 0, 0, 0, 0, 0
19351, 33 % , 420, 119, 0, 22, 0, 0, 0, 0, 0
19770, 56 % , 201, 2, 212, 63, 136, 0, 0, 13, 0
19869, 70 % , 201, 3, 27, 69, 160, 0, 0, 13, 0
20045, 70 % , 200, 167, 174, 39, 174, 39, 174, 128, 0
20150, 68 % , 201, 4, 173, 67, 212, 0, 0, 12, 0
20219, 63 % , 201, 4, 222, 66, 68, 0, 0, 7, 0
20339, 49 % , 201, 5, 53, 67, 32, 0, 0, 0, 0
20459, 40 % , 201, 5, 171, 66, 128, 0, 0, 0, 0
20549, 31 % , 201, 5, 208, 66, 148, 0, 0, 0, 0
20699, 25 % , 201, 5, 213, 62, 212, 0, 0, 1, 0
20818, 24 % , 201, 5, 115, 61, 28, 0, 0, 5, 0
20889, 26 % , 200, 166, 252, 38, 252, 38, 252, 128, 0
20979, 27 % , 200, 167, 12, 39, 12, 39, 12, 128, 0
21118, 30 % , 201, 4, 153, 61, 88, 0, 0, 6, 0
21278, 32 % , 201, 4, 93, 62, 212, 0, 0, 6, 0
21350, 34 % , 420, 119, 0, 27, 0, 0, 0, 0, 0
21519, 38 % , 201, 4, 47, 63, 196, 0, 0, 6, 0
21748, 43 % , 228, 0, 2, 0, 0, 0, 0, 0, 0
21818, 43 % , 201, 4, 69, 64, 80, 0, 0, 5, 0
21908, 39 % , 201, 4, 160, 68, 56, 0, 0, 0, 0
22049, 30 % , 231, 1, 75, 1, 0, 0, 0, 128, 0
22122, 27 % , 228, 0, 2, 0, 0, 0, 0, 128, 0
22188, 25 % , 200, 167, 22, 39, 22, 39, 22, 128, 0
22358, 21 % , 201, 5, 122, 62, 172, 0, 0, 0, 0
22618, 20 % , 201, 4, 205, 60, 84, 0, 0, 0, 0
22704, 21 % , 200, 166, 235, 38, 235, 38, 235, 128, 0
22918, 39 % , 201, 3, 122, 58, 116, 0, 0, 12, 0
23098, 58 % , 231, 1, 75, 1, 0, 0, 0, 128, 0
23227, 69 % , 201, 4, 1, 69, 220, 0, 0, 14, 0
23377, 68 % , 201, 4, 200, 69, 200, 0, 0, 14, 0
23767, 44 % , 201, 6, 247, 68, 216, 0, 0, 2, 0
23907, 29 % , 201, 7, 105, 66, 48, 0, 0, 0, 0
24046, 21 % , 201, 7, 115, 63, 196, 0, 0, 0, 0
24197, 17 % , 201, 7, 81, 62, 212, 0, 0, 0, 0
24327, 15 % , 201, 7, 7, 61, 88, 0, 0, 0, 0
24526, 15 % , 201, 6, 17, 59, 220, 0, 0, 0, 0
24596, 16 % , 200, 166, 190, 38, 190, 38, 190, 128, 0
24726, 19 % , 200, 166, 178, 38, 178, 38, 178, 128, 0
24796, 21 % , 200, 166, 203, 38, 203, 38, 203, 128, 0
24992, 31 % , 231, 1, 75, 1, 0, 0, 0, 128, 0
25082, 38 % , 201, 3, 145, 61, 108, 0, 0, 7, 0
25178, 41 % , 433, 0, 6, 8, 0, 0, 156, 80, 0
25255, 44 % , 201, 3, 185, 66, 8, 0, 0, 7, 0
25555, 44 % , 201, 4, 123, 67, 12, 0, 0, 7, 0
25816, 40 % , 201, 5, 17, 66, 8, 0, 0, 6, 0
25996, 34 % , 231, 1, 75, 1, 0, 0, 0, 128, 0
26195, 25 % , 231, 1, 75, 1, 0, 0, 0, 128, 0
26265, 22 % , 201, 5, 225, 64, 140, 0, 0, 0, 0
26354, 20 % , 200, 167, 0, 39, 0, 39, 0, 128, 0
26524, 18 % , 200, 166, 238, 38, 238, 38, 238, 128, 0
26631, 18 % , 200, 166, 232, 38, 232, 38, 232, 128, 0
26964, 21 % , 201, 4, 15, 58, 216, 0, 0, 0, 0
27034, 23 % , 201, 3, 200, 61, 68, 0, 0, 0, 0
27380, 35 % , 201, 3, 95, 62, 172, 0, 0, 0, 0
27470, 35 % , 200, 167, 83, 39, 83, 39, 83, 128, 0
27624, 34 % , 201, 3, 41, 63, 136, 0, 0, 0, 0
27740, 33 % , 200, 167, 59, 39, 59, 39, 59, 128, 0
27830, 32 % , 200, 167, 54, 39, 54, 39, 54, 128, 0
27920, 31 % , 200, 167, 48, 39, 48, 39, 48, 128, 0
28174, 30 % , 201, 3, 44, 64, 0, 0, 0, 0, 0
28323, 29 % , 200, 167, 51, 39, 51, 39, 51, 128, 0
28450, 29 % , 228, 0, 2, 0, 0, 0, 0, 0, 0
28539, 29 % , 201, 3, 42, 63, 216, 0, 22, 0, 0
28630, 29 % , 201, 3, 40, 63, 216, 0, 22, 0, 0
28720, 28 % , 201, 3, 37, 63, 216, 0, 22, 0, 0
28850, 28 % , 228, 0, 2, 0, 0, 0, 0, 0, 0
28949, 28 % , 200, 167, 55, 39, 55, 39, 55, 128, 0
29039, 28 % , 201, 3, 26, 63, 236, 0, 43, 0, 0
29149, 28 % , 200, 167, 55, 39, 55, 39, 55, 128, 0
29239, 28 % , 201, 3, 18, 63, 216, 0, 63, 0, 0
29349, 28 % , 201, 3, 13, 63, 196, 0, 0, 0, 0
29440, 28 % , 231, 1, 75, 1, 0, 0, 0, 128, 0
29503, 28 % , 231, 1, 75, 1, 0, 0, 0, 128, 0
29573, 28 % , 201, 3, 3, 63, 216, 0, 0, 0, 0
29703, 28 % , 201, 2, 254, 63, 236, 0, 0, 0, 0
29772, 28 % , 201, 2, 252, 63, 216, 0, 0, 0, 0
