Time, state, AID, D0,D1,D2,D3,D4,D5,D6,D7
Time, state, AID, D0,D1,D2,D3,D4,D5,D6,D7
26432 ms, -1, 200, 167, 44, 39, 44, 39, 44, 128, 0
26493 ms, -1, 200, 167, 44, 39, 44, 39, 44, 128, 0
26554 ms, -1, 200, 167, 44, 39, 44, 39, 44, 128, 0
26615 ms, -1, 200, 167, 45, 39, 45, 39, 45, 128, 0
26676 ms, -1, 200, 167, 45, 39, 45, 39, 45, 128, 0
26737 ms, -1, 200, 167, 46, 39, 46, 39, 46, 128, 0
26805 ms, -1, 240, 10, 0, 39, 46, 39, 46, 128, 0
26865 ms, -1, 200, 167, 45, 39, 45, 39, 45, 128, 0
26927 ms, -1, 200, 167, 45, 39, 45, 39, 45, 128, 0
26987 ms, -1, 201, 2, 255, 64, 0, 0, 0, 0, 0
27047 ms, -1, 240, 9, 0, 64, 0, 0, 0, 0, 0
27109 ms, -1, 228, 0, 4, 0, 0, 0, 0, 0, 0
27169 ms, -1, 200, 167, 45, 39, 45, 39, 45, 128, 0
27242 ms, -1, 200, 167, 45, 39, 45, 39, 45, 128, 0
27324 ms, -1, 200, 167, 43, 39, 43, 39, 43, 128, 0
27384 ms, -1, 200, 167, 44, 39, 44, 39, 44, 128, 0
27452 ms, -1, 200, 167, 43, 39, 43, 39, 43, 128, 0
27512 ms, -1, 200, 167, 44, 39, 44, 39, 44, 128, 0
27574 ms, -1, 200, 167, 45, 39, 45, 39, 45, 128, 0
27634 ms, -1, 200, 167, 43, 39, 43, 39, 43, 128, 0
27696 ms, -1, 200, 167, 45, 39, 45, 39, 45, 128, 0
27756 ms, -1, 200, 167, 45, 39, 45, 39, 45, 128, 0
27817 ms, -1, 240, 9, 0, 39, 45, 39, 45, 128, 0
27886 ms, -1, 200, 167, 42, 39, 42, 39, 42, 128, 0
27947 ms, -1, 201, 3, 0, 64, 0, 0, 0, 0, 0
28007 ms, -1, 240, 9, 0, 64, 0, 0, 0, 0, 0
28075 ms, -1, 200, 167, 44, 39, 44, 39, 44, 128, 0
28135 ms, -1, 200, 167, 44, 39, 44, 39, 44, 128, 0
28196 ms, -1, 200, 167, 45, 39, 45, 39, 45, 128, 0
28257 ms, -1, 240, 9, 0, 39, 45, 39, 45, 128, 0
28325 ms, -1, 200, 167, 43, 39, 43, 39, 43, 128, 0
28386 ms, -1, 201, 3, 0, 64, 0, 0, 0, 0, 0
28447 ms, -1, 240, 9, 0, 64, 0, 0, 0, 0, 0
28508 ms, -1, 228, 0, 4, 0, 0, 0, 0, 0, 0
