Time, state, AID, D0,D1,D2,D3,D4,D5,D6,D7
45517 ms, -1, 240, 12, 0, 39, 33, 39, 33, 128, 0
45573 ms, -1, 200, 167, 33, 39, 33, 39, 33, 128, 0
45628 ms, -1, 240, 13, 0, 39, 33, 39, 33, 128, 0
45683 ms, -1, 200, 167, 32, 39, 32, 39, 32, 128, 0
45739 ms, -1, 240, 12, 0, 39, 32, 39, 32, 128, 0
45794 ms, -1, 200, 167, 35, 39, 35, 39, 35, 128, 0
45849 ms, -1, 200, 167, 33, 39, 33, 39, 33, 128, 0
45911 ms, -1, 205, 0, 0, 0, 0, 0, 0, 0, 0
45966 ms, -1, 190, 0, 0, 0, 0, 0, 0, 0, 0
46036 ms, -1, 200, 167, 30, 39, 30, 39, 30, 128, 0
46093 ms, -1, 200, 167, 30, 39, 30, 39, 30, 128, 0
46148 ms, -1, 433, 128, 6, 8, 1, 0, 172, 80, 0
46203 ms, -1, 200, 167, 32, 39, 32, 39, 32, 128, 0
46259 ms, -1, 240, 12, 0, 39, 32, 39, 32, 128, 0
46314 ms, -1, 200, 167, 34, 39, 34, 39, 34, 128, 0
46369 ms, -1, 200, 167, 33, 39, 33, 39, 33, 128, 0
46425 ms, -1, 231, 1, 75, 1, 0, 0, 0, 128, 0
46486 ms, -1, 200, 167, 35, 39, 35, 39, 35, 128, 0
46541 ms, -1, 200, 167, 35, 39, 35, 39, 35, 128, 0
46597 ms, -1, 228, 0, 4, 0, 0, 39, 35, 128, 0
46652 ms, -1, 200, 167, 35, 39, 35, 39, 35, 128, 0
46707 ms, -1, 190, 0, 0, 0, 0, 0, 0, 0, 0
46763 ms, -1, 200, 167, 35, 39, 35, 39, 35, 128, 0
46818 ms, -1, 240, 12, 0, 39, 35, 39, 35, 128, 0
46873 ms, -1, 200, 167, 35, 39, 35, 39, 35, 128, 0
46928 ms, -1, 240, 12, 0, 39, 35, 39, 35, 128, 0
46984 ms, -1, 205, 0, 0, 0, 0, 0, 0, 0, 0
47045 ms, -1, 200, 167, 37, 39, 37, 39, 37, 128, 0
47100 ms, -1, 200, 167, 38, 39, 38, 39, 38, 128, 0
47156 ms, -1, 430, 28, 149, 39, 38, 39, 38, 128, 0
47211 ms, -1, 200, 167, 36, 39, 36, 39, 36, 128, 0
47266 ms, -1, 190, 0, 0, 0, 0, 0, 0, 0, 0
47322 ms, -1, 200, 167, 37, 39, 37, 39, 37, 128, 0
47377 ms, -1, 240, 12, 0, 39, 37, 39, 37, 128, 0
47457 ms, -1, 200, 167, 38, 39, 38, 39, 38, 128, 0
47512 ms, -1, 200, 167, 38, 39, 38, 39, 38, 128, 0
47567 ms, -1, 240, 12, 0, 39, 38, 39, 38, 128, 0
47623 ms, -1, 200, 167, 39, 39, 39, 39, 39, 128, 0
47673 ms, -1, 240, 11, 0, 39, 39, 39, 39, 128, 0
47728 ms, -1, 200, 167, 38, 39, 38, 39, 38, 128, 0
47784 ms, -1, 190, 0, 0, 0, 0, 0, 0, 0, 0
47839 ms, -1, 200, 167, 39, 39, 39, 39, 39, 128, 0
47894 ms, -1, 228, 0, 4, 0, 0, 39, 39, 128, 0
47949 ms, -1, 200, 167, 40, 39, 40, 39, 40, 128, 0
48005 ms, -1, 190, 0, 0, 0, 0, 0, 0, 0, 0
48060 ms, -1, 200, 167, 41, 39, 41, 39, 41, 128, 0
48115 ms, -1, 240, 12, 0, 39, 41, 39, 41, 128, 0
48171 ms, -1, 200, 167, 39, 39, 39, 39, 39, 128, 0
