Time, RPM, AID, D0,D1,D2,D3,D4,D5,D6,D7
Time, RPM, AID, D0,D1,D2,D3,D4,D5,D6,D7
20811, 1753 rpm , 231, 1, 75, 1, 0, 0, 0, 128, 0
20961, 1601 rpm , 200, 166, 227, 38, 227, 38, 227, 128, 0
21061, 1551 rpm , 228, 0, 4, 0, 0, 38, 227, 128, 0
21150, 1549 rpm , 200, 167, 5, 39, 5, 39, 5, 128, 0
21272, 1570 rpm , 231, 1, 75, 1, 0, 0, 0, 128, 0
21411, 1605 rpm , 201, 6, 78, 64, 240, 0, 0, 11, 0
21490, 1655 rpm , 200, 167, 24, 39, 24, 39, 24, 128, 0
21584, 1708 rpm , 228, 0, 4, 0, 0, 39, 24, 128, 0
21720, 1736 rpm , 200, 167, 14, 39, 14, 39, 14, 128, 0
22179, 1810 rpm , 200, 166, 252, 38, 252, 38, 252, 128, 0
22569, 1803 rpm , 201, 7, 12, 64, 80, 0, 0, 11, 0
22634, 1801 rpm , 228, 0, 4, 0, 0, 0, 0, 11, 0
22944, 1811 rpm , 228, 0, 4, 0, 0, 0, 0, 0, 0
23628, 1818 rpm , 200, 166, 254, 38, 254, 38, 254, 128, 0
23729, 1819 rpm , 201, 7, 29, 64, 20, 0, 0, 11, 0
23848, 1824 rpm , 200, 166, 251, 38, 251, 38, 251, 128, 0
24129, 1805 rpm , 231, 1, 75, 1, 0, 0, 0, 128, 0
24508, 1817 rpm , 200, 166, 252, 38, 252, 38, 252, 128, 0
24827, 1822 rpm , 201, 7, 30, 64, 120, 0, 0, 11, 0
24918, 1823 rpm , 201, 7, 34, 64, 40, 0, 0, 11, 0
24997, 1826 rpm , 201, 7, 34, 63, 196, 0, 0, 11, 0
25068, 1830 rpm , 231, 1, 75, 1, 0, 0, 0, 128, 0
25377, 1825 rpm , 201, 7, 33, 64, 0, 0, 0, 11, 0
25457, 1833 rpm , 200, 166, 250, 38, 250, 38, 250, 128, 0
25536, 1830 rpm , 200, 166, 250, 38, 250, 38, 250, 128, 0
25617, 1827 rpm , 201, 7, 35, 63, 156, 0, 0, 11, 0
25807, 1812 rpm , 231, 1, 75, 1, 0, 0, 0, 128, 0
26077, 1801 rpm , 201, 7, 10, 63, 236, 0, 0, 11, 0
26186, 1797 rpm , 201, 7, 6, 63, 216, 0, 0, 11, 0
26256, 1799 rpm , 200, 166, 254, 38, 254, 38, 254, 128, 0
26427, 1803 rpm , 231, 1, 75, 1, 0, 0, 0, 128, 0
26516, 1799 rpm , 201, 7, 7, 63, 196, 0, 0, 11, 0
26676, 1799 rpm , 201, 7, 6, 64, 0, 0, 0, 11, 0
26746, 1798 rpm , 201, 7, 8, 64, 20, 0, 0, 11, 0
26815, 1804 rpm , 200, 167, 0, 39, 0, 39, 0, 128, 0
26881, 1808 rpm , 228, 0, 4, 0, 0, 39, 0, 128, 0
26945, 1809 rpm , 200, 167, 0, 39, 0, 39, 0, 128, 0
27107, 1825 rpm , 231, 1, 75, 1, 0, 0, 0, 128, 0
27196, 1826 rpm , 201, 7, 36, 64, 40, 0, 0, 11, 0
27286, 1833 rpm , 200, 166, 253, 38, 253, 38, 253, 128, 0
